col_1,col_2
0,2202
1,9326
2,1034
3,4180
4,1932
5,8118
6,7365
7,7738
8,6220
9,3440
10,1538
11,7994
12,465
13,6387
14,7091
15,9953
16,35
17,7298
18,4364
19,3749
20,9686
21,1675
22,5201
23,502
24,366
25,417
26,8871
27,151
28,6246
29,3549
30,6916
31,476
32,8645
33,3633
34,7175
35,8124
36,9059
37,3819
38,5664
39,3783
40,3585
41,7531
42,4748
43,353
44,6819
45,9117
46,1639
47,3046
48,4857
49,1981
50,5451
51,8206
52,6916
53,8319
54,3111
55,4971
56,4656
57,9627
58,8182
59,8279
60,6445
61,9651
62,566
63,7869
64,3978
65,6624
66,6789
67,2835
68,6015
69,8992
70,6140
71,1417
72,7192
73,8331
74,1769
75,2683
76,8536
77,6444
78,6071
79,8024
80,485
81,7690
82,713
83,5055
84,9719
85,9473
86,6449
87,2792
88,2763
89,8229
90,3719
91,202
92,3269
93,8842
94,8984
95,3804
96,6627
97,8418
98,5634
99,9467
100,5789
101,7523
102,4412
103,8979
104,9977
105,94
106,6287
107,8397
108,2118
109,8499
110,9198
111,3367
112,6982
113,920
114,7883
115,5976
116,9339
117,9084
118,3275
119,8270
120,6774
121,7946
122,5846
123,6790
124,5671
125,26
126,8823
127,8850
128,5426
129,7507
130,9829
131,459
132,3762
133,2904
134,9024
135,9576
136,2962
137,1501
138,9029
139,4183
140,532
141,1155
142,1364
143,274
144,7422
145,239
146,4608
147,4089
148,4402
149,1794
150,3025
151,5644
152,4757
153,1139
154,2744
155,2616
156,4182
157,8641
158,2755
159,4472
160,4825
161,7450
162,5276
163,8135
164,7763
165,1871
166,388
167,5112
168,6334
169,5626
170,6897
171,3081
172,4234
173,1782
174,4153
175,8358
176,3426
177,9923
178,7073
179,342
180,3693
181,293
182,6510
183,2400
184,579
185,2626
186,7302
187,8296
188,6991
189,8925
190,3615
191,8464
192,7387
193,3657
194,8584
195,503
196,6471
197,9435
198,5264
199,6985
200,964
201,4893
202,2060
203,3476
204,778
205,5020
206,1159
207,1253
208,5085
209,4881
210,2593
211,6819
212,9256
213,4135
214,2137
215,139
216,9187
217,622
218,9677
219,3566
220,9344
221,7551
222,2811
223,8338
224,614
225,6193
226,3284
227,5685
228,1623
229,3372
230,9395
231,7094
232,9690
233,3181
234,8067
235,1711
236,6391
237,4851
238,8260
239,8189
240,282
241,5331
242,6592
243,4610
244,297
245,2572
246,3291
247,5370
248,9230
249,2215
250,5556
251,7033
252,3491
253,4367
254,1580
255,6214
256,8973
257,5634
258,8755
259,7939
260,8725
261,3845
262,1071
263,662
264,1388
265,2180
266,2781
267,2729
268,8819
269,3490
270,4392
271,5444
272,9834
273,8289
274,4183
275,6032
276,5552
277,5576
278,1867
279,4772
280,3854
281,9896
282,8009
283,2218
284,9503
285,9031
286,1709
287,5255
288,642
289,6662
290,1200
291,6230
292,2414
293,2049
294,5586
295,1880
296,9625
297,6194
298,1256
299,9352
300,9016
301,3666
302,9273
303,1340
304,4371
305,5979
306,4843
307,9248
308,8754
309,1873
310,7501
311,4542
312,1766
313,750
314,4846
315,203
316,239
317,1503
318,6776
319,1886
320,656
321,3079
322,3927
323,9615
324,6898
325,2655
326,1894
327,7388
328,2743
329,3956
330,2605
331,1685
332,7129
333,6198
334,8896
335,4818
336,9015
337,4152
338,7816
339,5153
340,1641
341,3402
342,5201
343,650
344,447
345,173
346,4843
347,9775
348,5247
349,7371
350,6411
351,5133
352,6530
353,1032
354,1052
355,5200
356,9855
357,7469
358,1825
359,4098
360,3526
361,8896
362,7683
363,5830
364,4245
365,3002
366,8874
367,3406
368,5036
369,3264
370,4037
371,5906
372,1334
373,4601
374,1465
375,7339
376,1483
377,9411
378,5553
379,3727
380,6398
381,5027
382,673
383,5362
384,3061
385,5190
386,9487
387,4962
388,4028
389,5478
390,1654
391,8917
392,9487
393,9765
394,1509
395,4016
396,3608
397,334
398,3994
399,6583
400,1186
401,4392
402,9031
403,1162
404,1231
405,353
406,163
407,4765
408,5885
409,8082
410,7682
411,2527
412,1654
413,8216
414,5376
415,1264
416,8344
417,2839
418,2943
419,2451
420,2319
421,5240
422,5008
423,1752
424,8428
425,9862
426,4809
427,2070
428,3388
429,2322
430,8938
431,521
432,5179
433,9060
434,3366
435,2919
436,4898
437,7089
438,8807
439,2587
440,796
441,4052
442,4139
443,1056
444,7319
